2025-08-06 22:23:07 | INFO     | __main__:__init__:45 | ============================================================
2025-08-06 22:23:07 | INFO     | __main__:__init__:46 | SMC Trading Bot - Day 1 Demo Starting
2025-08-06 22:23:07 | INFO     | __main__:__init__:47 | ============================================================
2025-08-06 22:23:07 | INFO     | data_service.data_fetcher:__init__:57 | Enhanced MT5 Data Fetcher initialized
2025-08-06 22:23:07 | INFO     | __main__:__init__:63 | Initialized with symbols: ['EURUSD', 'GBPUSD', 'USDJPY']
2025-08-06 22:23:07 | INFO     | __main__:__init__:64 | Test timeframes: ['M15', 'H1', 'H4']
2025-08-06 22:23:07 | INFO     | __main__:run_day1_tests:68 | Starting Day 1 comprehensive tests...
2025-08-06 22:23:07 | INFO     | __main__:_test_mt5_connection:87 | Testing MT5 connection...
2025-08-06 22:23:07 | INFO     | data_service.data_fetcher:initialize_mt5:67 | Initializing MT5 connection...
2025-08-06 22:23:23 | INFO     | data_service.data_fetcher:initialize_mt5:87 | MT5 initialized successfully - Account: 94003752
2025-08-06 22:23:23 | INFO     | data_service.data_fetcher:initialize_mt5:88 | Server: MetaQuotes-Demo, Balance: 82808.54
2025-08-06 22:23:23 | SUCCESS  | __main__:_test_mt5_connection:118 | MT5 connection test completed in 15.67s
2025-08-06 22:23:23 | INFO     | __main__:_test_data_fetching:138 | Testing data fetching...
2025-08-06 22:23:23 | INFO     | __main__:_test_data_fetching:143 | Testing data fetch for EURUSD
2025-08-06 22:23:23 | INFO     | data_service.data_fetcher:fetch_data_with_retry:181 | Successfully fetched 500 candles for EURUSD
2025-08-06 22:23:23 | INFO     | __main__:_test_data_fetching:181 |   M15: 500 candles, quality: 0.616
2025-08-06 22:23:23 | INFO     | data_service.data_fetcher:fetch_data_with_retry:181 | Successfully fetched 500 candles for EURUSD
2025-08-06 22:23:23 | INFO     | __main__:_test_data_fetching:181 |   H1: 500 candles, quality: 0.616
2025-08-06 22:23:23 | INFO     | data_service.data_fetcher:fetch_data_with_retry:181 | Successfully fetched 500 candles for EURUSD
2025-08-06 22:23:23 | INFO     | __main__:_test_data_fetching:181 |   H4: 500 candles, quality: 0.588
2025-08-06 22:23:23 | INFO     | __main__:_test_data_fetching:143 | Testing data fetch for GBPUSD
2025-08-06 22:23:23 | INFO     | data_service.data_fetcher:fetch_data_with_retry:181 | Successfully fetched 500 candles for GBPUSD
2025-08-06 22:23:23 | INFO     | __main__:_test_data_fetching:181 |   M15: 500 candles, quality: 0.616
2025-08-06 22:23:23 | INFO     | data_service.data_fetcher:fetch_data_with_retry:181 | Successfully fetched 500 candles for GBPUSD
2025-08-06 22:23:23 | INFO     | __main__:_test_data_fetching:181 |   H1: 500 candles, quality: 0.616
2025-08-06 22:23:23 | INFO     | data_service.data_fetcher:fetch_data_with_retry:181 | Successfully fetched 500 candles for GBPUSD
2025-08-06 22:23:23 | INFO     | __main__:_test_data_fetching:181 |   H4: 500 candles, quality: 0.588
2025-08-06 22:23:23 | INFO     | __main__:_test_data_fetching:143 | Testing data fetch for USDJPY
2025-08-06 22:23:23 | INFO     | data_service.data_fetcher:fetch_data_with_retry:181 | Successfully fetched 500 candles for USDJPY
2025-08-06 22:23:23 | INFO     | __main__:_test_data_fetching:181 |   M15: 500 candles, quality: 0.616
2025-08-06 22:23:23 | INFO     | data_service.data_fetcher:fetch_data_with_retry:181 | Successfully fetched 500 candles for USDJPY
